id,name,description,icon,slot,grade,mainStatType,baseMainStat,mainStatPerLevel,baseSubMin,baseSubMax,goldCostBase,goldCostPerLevel,dropWeight,prefab,attackCooldown
11,비취 사신검,"굽은 비취 칼날을 가진 이형의 검. 베인 적은 독기와 저주
에 서서히 잠식됩니다.",Weapon_11_Green,Weapon,Rare,0,65,10,3,5,400,600,4,items/Weapon_11_Green,
12,빙결 수정검,"푸른 수정으로 이루어진 마검. 공격 시 차가운 냉기가
퍼져 적의 움직임을 둔화시킨다.",Weapon_13_Blue,Weapon,Rare,0,70,10,3,5,400,600,4,items/Weapon_13_Blue,
13,핏빛 마검,"붉은 마력이 흐르는 검. 적을 베어낼수록 검의 힘이
깨어나 더욱 강한 일격을 날립니다.",Weapon_14_Red,Weapon,Rare,0,80,10,3,5,400,600,4,items/Weapon_14_Red,
14,태양의 심판검,"찬란한 빛으로 타오르는 신성한 검. 어둠을 가르는 강력
한 빛의 참격을 발산한다.",Weapon_15_Yellow,Weapon,Rare,0,90,10,3,5,400,600,4,items/Weapon_15_Yellow,
15,검은 파멸검,"검은 강철과 저주의 룬으로 만들어진 무기. 공격한 적에게
파멸의 기운을 남깁니다.",Weapon_16_Earth,Weapon,Epic,0,110,15,3,5,600,1000,1,items/Weapon_16_Earth,
16,서리용의 쌍날검,"얼어붙은 용의 뼈와 수정으로 제작된 검. 냉기 폭발로 
주변 적까지 얼려버립니다.",Weapon_17_Frost,Weapon,Epic,0,120,15,3,5,600,1000,1,items/Weapon_17_Frost,
17,고대 철갑검,"잊힌 제국의 전사들이 사용하던 중검. 묵직한 일격으로 적
의 방어를 부숴버립니다.",Weapon_18_Iron,Weapon,Epic,0,140,15,3,5,600,1000,1,items/Weapon_18_Iron,
18,화염군주의 마검,"용암과 지옥불로 단련된 최상급 마검. 칼날이 타오를
때마다 적을 불태우는 화염 참격이 발생합니다.",Weapon_19_Larva,Weapon,Epic,0,160,15,3,5,600,1000,1,items/Weapon_19_Larva,
19,훈련병의 철 흉갑,"모험가 길드에서 초보자들에게 저렴하게 보급하는
기초적인 흉갑입니다. 급한 불은 끌 수 있을 만큼 튼튼합니다.",BodyArmor_1,Top,Common,1,10,5,3,5,200,400,11,,
20,경비대원의 징 박힌 갑옷,"영지 경비대원들이 흔히 착용하는 갑옷입니다. 표면에 
세월의 흔적과 약간의 스크래치가 남아있습니다.",BodyArmor_2,Top,Common,1,20,5,3,5,200,400,11,,
21,낡은 장교의 제식 갑옷,"목을 보호하는 카라가 특징인 구식 제식 갑옷입니다. 
전면의 장식들은 다소 빛이 바랬습니다.",BodyArmor_6,Top,Common,1,30,5,3,5,200,400,11,,
22,경화 강철 판금갑옷,겹겹이 덧댄 강철판으로 방어력을 높였습니다. 묵직하지만 가슴 중앙의 하트 모양을 닮은 연결부가 단단하게 중심을 잡아줍니다.,BodyArmor_7,Top,Uncommon,1,50,8,3,5,250,600,6,,
23,어둠추적자 가죽 흉갑,야간 전투나 잠행에 유리하도록 표면을 검게 그을린 중갑옷입니다. 신체 곡선에 맞춰 정교하게 맞물려 있습니다., BodyArmor_8,Top,Uncommon,1,70,8,3,5,250,600,6,,
24,바위각인 판금갑옷,마치 단단한 암석을 깎아 만든 듯한 질감의 방어구입니다. 겉보기와 달리 마법적인 가공 덕분에 금속만큼 단단합니다.,BodyArmor_10,Top,Uncommon,1,90,8,3,5,250,600,6,,
25,가디언의 청칭석 갑옷,"수호자들을 위해 제련된 갑옷으로, 신비로운 푸른빛과 금빛 테두리가
조화를 이룹니다. 착용자의 방어 의지를 강화합니다.",BodyArmor_4,Top,Rare,1,130,10,3,5,400,800,3,,
26,마나실버 기사단 갑옷,"마력을 흡수하는 은을 정제하여 만든 고위 기사단의 갑옷입니다.
가슴 중앙의 마나 흐름 장치가 효율적인 움직임을 돕습니다.",BodyArmor_9,Top,Rare,1,150,10,3,5,400,800,3,,
27,하이엘프의 마법 결정 갑옷,"정교한 세공 기술과 순수한 마력 결정을 엮어 만든 신비로운 장비입니다.
착용자의 몸을 타고 푸른 마력의 파동이 흐릅니다.",BodyArmor_3,Top,Epic,1,200,15,3,5,600,1000,1,,
28,엠페러 가디언의 신성 갑옷,"고대 황실을 수호하던 최정예 기사들만이 입을 수 있었던 전설적인 방어구입니다.
틈새마다 흘러나오는 황금빛 광채가 적들에게 위압감을 줍니다.",BodyArmor_5,Top,Epic,1,220,15,3,5,600,1000,1,,
29,훈련병의 철제 무릎보호대,"모험가 길드에서 지급하는 기본 하의입니다. 거칠게 마감된 철판이 무릎과
정강이를 최소한으로 보호합니다.",Pants_1,Bottom,Common,1,10,5,3,5,200,400,1,,
30,경비대원의 징 박힌 바지,"활동성을 위해 튼튼한 가죽 바지 위에 금속 징과 철판을 덧대어 만든
영지 경비대용 하의입니다.",Pants_2,Bottom,Common,1,20,5,3,5,200,400,1,,
31,낡은 장교의 제식 하의,단정하게 정돈된 붉은 천 마감과 각진 보호대가 특징인 구식 제식 하의입니다.,Pants_6,Bottom,Common,1,40,5,3,5,200,400,1,,
32,경화 강철 각반,"단단하게 제련된 강철을 여러 겹 겹쳐 허벅지부터 발목까지 통으로 보호하는
묵직한 중갑 하의입니다.",Pants_7,Bottom,Uncommon,1,60,8,3,5,400,600,1,,
33,어둠추적자 가죽 각반,"어두운 밤이나 그림자 속에서 빛을 반사하지 않도록 특수 무광 처리를 한
첩보용 가죽 판금 바지 입니다.",Pants_8,Bottom,Uncommon,1,80,8,3,5,400,600,1,,
34,바위각인 판금 각반,"바위의 단단함을 형상화한 디자인으로, 웬만한 둔기의 충격도 그대로 흡수해
버릴 듯한 방어력을 자랑합니다.",Pants_10,Bottom,Uncommon,1,100,8,3,5,400,600,1,,
35,가디언의 청청석 하의,"수호자들을 위한 하의로, 신비로운 청색 금속과 금빛 테두리가 어우러져 
하체를 견고하게 지탱해 줍니다.",Pants_4,Bottom,Rare,1,120,10,3,5,600,800,1,,
36,마나실버 기사단 각반,"고위 기사단의 제식 하의입니다. 다리에 가해지는 피로도를 마력의 흐름으로 경감시켜 
주는 기능이 있습니다.",Pants_9,Bottom,Rare,1,140,10,3,5,600,800,1,,
37,하이엘프의 마법 결정 하의,"신비로운 마력 결정이 치마 형태로 레이어드된 하의입니다. 걸음마다 
푸른 마력 파동이 은은하게 잔상을 남깁니다.",Pants_3,Bottom,Epic,1,200,15,3,5,1000,1000,1,,
38,엠페러 가디언의 신성 각반,"황실 최정예 수호기사만이 착용하던 영웅의 하의입니다. 전신을 감싸는 황금빛 
광채가 다리의 힘과 방어력을 극대화 합니다.",Pants_5,Bottom,Epic,1,230,15,3,5,1000,1000,1,,
39,녹슨 청동 반지,오랜 시간 방치되어 푸른 녹이 슨 청동 반지입니다. 별다른 마력은 없지만 손가락을 단단하게 감싸줍니다.,Ring_1,Ring,Common,0,10,5,3,5,200,400,1,,
40,철제 인장 반지,무늬가 심플하게 새겨진 철제 반지입니다. 주로 하급 병사들이나 모험가들이 징표로 가볍게 착용합니다.,Ring_2,Ring,Common,0,30,5,3,5,200,400,1,,
41,세공된 구리 반지,"구리를 꼬아 만든 투박한 반지입니다. 마법적인 능력은 미미하지만, 신체에 아주 약간의 활력을 불어넣어 줍니다.",Ring_6,Ring,Common,0,50,5,3,5,200,400,1,,
42,백철의 강화 반지,은백색의 강철을 정교하게 깎아 만든 반지입니다. 착용자의 물리적인 힘을 조금 더 단단하게 지탱해 줍니다.,Ring_7,Ring,Uncommon,0,80,8,3,5,400,600,1,,
43,어둠추적자의 마노 반지,빛을 흡수하는 검은색 마노가 박힌 반지입니다. 민첩한 움직임과 은밀함을 촉진하는 기운이 서려 있습니다.,Ring_8,Ring,Uncommon,0,100,8,3,5,400,600,1,,
44,황혼의 자수정 반지,보랏빛 자수정이 박힌 마력 제어용 반지입니다. 초보 마법사들이 기초 마나를 안정시키기 위해 자주 찾습니다.,Ring_10,Ring,Uncommon,0,120,8,3,5,400,600,1,,
45,가디언의 사파이어 반지,깊은 바다를 닮은 사파이어가 장식된 반지입니다. 청청석 갑옷 세트와 공명하여 착용자에게 강력한 수호의 가호를 부여합니다.,Ring_4,Ring,Rare,0,150,10,3,5,600,800,1,,
46,에메랄드 생명 반지,정교한 은빛 나선 장식 중심에 청량한 에메랄드가 박혀 있습니다. 착용자의 상처를 미세하게 지속 치유하는 생명력이 깃들어 있습니다.,Ring_9,Ring,Rare,0,180,10,3,5,600,800,1,,
47,엘프의 은하수 보석 반지,"우주의 신비로운 성운을 가두어 놓은 듯한 눈부신 보석 반지입니다. 압도적인 마력 파동을 지니고 있어, 스킬의 위력을 극한으로 끌어올립니다.",Ring_3,Ring,Epic,0,200,15,3,5,800,1000,1,,
48,황제의 태양광 기단 반지,"이글거리는 태양의 광채를 형상화한 전설적인 반지입니다. 엠페러 세트의 완성점이며, 착용하는 순간 온몸에 폭발적인 공격력과 신성한 힘이 샘솟습니다.",Ring_5,Ring,Epic,0,230,15,3,5,800,1000,1,,
49,폭탄 유령,폭탄을 던집니다.,PetGhost,Pet,Uncommon,100,100,15,3,5,800,1000,1,items/PetGhost,1.5
